id,name,reference,mandatory
"XUCDM.COPY.FK_FG_LP_LUM_GEAR","FG Gear","",""
"LUMDESIGUS","Design Mean Lumens","IF-536;IF-532;IF-543;PG-167294;IF-538;IF-542;IF-539;IF-531;IF-519;IF-537;IF-534",""
"ETIM.V7.EF001280 N","EF001280 - Number of groups/phases","",""
"THD","Total Harmonic Distortion","",""
"XUCDM.COPY.FK_FG_LP_OPTICAL_COVER","FG Optical cover","",""
"CONTYPEINP","Connector Type Input Terminals","",""
"displayName","displayName","",""
"XUCDM.COPY.FK_FG_LP_LUMINT","FG Luminous intensity","",""
"XUCDM.COPY.FK_FG_LP_LUMFLUX","FG Lamp luminous flux","",""
"ETIM.V7.EF000004 A","EF000004 - Protection class","",""
"PSY-TL5HT","System Power On TL5 HT","",""
"XUCDM.COPY.FK_FG_LP_LUM_WATTAGE","FG Wattage","",""
"ETIM.V7.EF008530 R","EF008530 - Hoisting load","",""
"FHEIC2","Fixing Hole Distance Height C2","",""
"BRLENGTH","Bracket length","","PG-44539 (Pole brackets)"
"ETIM.V7.EF002366 N","EF002366 - Number of filaments","",""
"XUCDM.COPY.FP.EOP.OEM","XUCDM.COPY.FP.EOP.OEM","",""
"XUCDM.COPY.FK_FG_LP_PRODTYPE","FG Product type","",""
"CISPR15","EMI 9 kHz ... 300 MHz","",""
"LAMCURMAXL","Lamp Current (@ Max Lumen)","",""
"XUCDM.COPY.FK_FG_LP_OPTICS","FG Optics","",""
"PSY-TL5HE","System Power On TL5 HE","",""
"ETIM.V7.EF000233 A","EF000233 - Power supply system","",""
"PSY-TL5HO","System Power On TL5 HO","",""
"ETIM.V7.EF012188 L","EF012188 - Dimming DSI","",""
"LSF20000P","LSF Preheat 20000 h Rated","",""
"ETIM.V7.EF001359 A","EF001359 - Burning position","",""
"XUCDM.COPY.FP.isPublishable.OEM","XUCDM.COPY.FP.isPublishable.OEM","",""
"ETIM.V7.EF000841 L","EF000841 - Programmable","",""
"TIMEREIGM_MIN","Re-Ignition Time (Min) (Min)","",""
"XUCDM.COPY.FP.isActive.PROF","XUCDM.COPY.FP.isActive.PROF","",""
"TIMEREIGM_NOM","Re-Ignition Time (Min) (Nom)","",""
"ETIM.V7.EF002781 L","EF002781 - Cool beam","",""
"XUCDM.COPY.FP.isActive.OEM","XUCDM.COPY.FP.isActive.OEM","",""
"TIMEREIGM_MAX","Re-Ignition Time (Min) (Max)","",""
"ETIM.V7.EF002343 N","EF002343 - Number of discharge tubes","",""
"XUCDM.COPY.FP.EOP.PROF","XUCDM.COPY.FP.EOP.PROF","",""
"STEP.ZRCC.CHAR.WIRING.DESC","SAP Internal wiring desc.","",""
"PET_MIN","Pet (Niosh) (Min)","",""
"PET_NOM","Pet (Niosh) (Nom)","",""
"STEP.MVKE.SCMNG05","SAP Delivery unit 05","",""
"PRIMFUS","Primary Fusing","",""
"STEP.MVKE.VMSTA05","SAP X-DChain status (Projects)","",""
"UVBARATE","UV-B/UV-A (IEC)","",""
"STEP.ZRCC.CHAR.BULBFIN.DESC","SAP Bulb finish desc.","",""
"XUCDM.COPY.FK_FG_LP_APERTURE_SIZE_CODE","FG Aperture Size Code","",""
"STEP.ZRCC.CHAR.TYPDESCR.DESC","SAP Type description desc.","",""
"CLS","Protection class IEC","","PG-44480 (Spotlight/ projector LED);PG-44551 (Street lantern LED);PG-44460 (Dust/ water protected LED);PG-44432 (Free standing floor conventional);PG-44448 (Surface-mounted LED);PG-44434 (Free standing floor LED);IF-3084 (GreenSpace Accent RS340B-RS343B);CAT-44365 (Prof. Europe Indoor Luminaires);PG-44440 (Recessed functional LED);MPG-44488 (Gear);PG-44543 (Bollard LED);PG-44609 (Cleanroom LED);PG-44555 (Tunnel or underpass LED);PG-44464 (High-bay/ low-bay LED);MPG-44584 (Electrical accessories);PG-44456 (Wall LED);PG-44567 (Floodlight underwater LED);MPG-44585 (Gear);MPG-44411 (Battens & trunking systems);PG-44559 (Floodlight surface LED);PG-44547 (Road lighting LED);PG-44430 (Free standing desk LED);MPG-44487 (Electrical accessories);PG-44452 (Suspended LED);PG-44545 (Road lighting conventional);PG-44472 (Gridlight LED);CAT-44366 (Prof. Europe Outdoor Luminaires);PG-44468 (Downlight LED);IF-3085 (LuxSpace Accent RS730B-RS752B)"
"XUCDM.COPY.FK_FG_LP_HOUSING_MATERIAL","FG Housing Material","",""
"CLR","Color","IF-2270;IF-2258;IF-1188;IF-1326;IF-2088;IF-2206;IF-1315;PG-44551;IF-12372;IF-7125175;IF-2147;IF-7125180;IF-1630;IF-51764;IF-2054;IF-1170;IF-2362;IF-2006;IF-1149;IF-12361;IF-1684;IF-1510;IF-2144;IF-1151;IF-1631;IF-2021;IF-1331;IF-2364;IF-1226;PG-44460;IF-2255;IF-1933;IF-1227;IF-2094;IF-1249;IF-45779;PG-6961847;IF-1386;IF-2050;PG-44448;IF-2139;IF-1155;IF-1623;CAT-316024;IF-6965739;IF-2025;PG-44434;IF-2079;IF-2199;IF-7007820;IF-1422;IF-1647;PG-6744832;IFS-15391;IF-2098;IF-1264;IFS-15287;IF-1558;IF-2082;IF-2249;IF-1378;IF-1016;IF-1904;IF-2081;IF-1154;IF-7125186;IF-3102;IF-2075;IF-1251;IFS-15278;IF-1165;IF-1038;IF-1632;IF-2143;IF-2095;IF-2074;CAT-6698971;IFS-15381;MPG-167295;IF-1050;IF-2197;IF-7125268;IF-1424;IF-2099;IF-2146;CAT-44365;IF-2363;PG-44454;IF-2153;IF-1325;IF-1017;PG-44609;PG-44543;IF-1663;IF-1421;PG-44555;IF-2030;CAT-6702460;IF-1046;IFS-10780;IF-2048;IF-2356;IF-13268;IF-1311;IF-1931;IF-2138;IF-7100388;IF-1036;IF-2092;IF-2366;IF-12363;IF-2091;PG-44464;IF-1035;IF-2140;FP-820619247821;IF-1352;IF-1152;IF-1187;IFS-15242;IF-2261;IF-1511;IF-1419;IF-2080;IF-1898;IF-2338;IF-1107;IF-1183;MPG-6709950;CAT-14999;IF-51768;PG-44422;PG-44456;IF-1423;MPG-6993641;IF-12358;IF-1156;IF-1179;IF-61690;IF-1053;IFS-15392;IF-2177;IF-2262;IF-2097;IF-1181;IF-1387;MPG-44413;PG-44579;IF-2222;IF-1253;IF-1330;IF-2355;IF-13265;IF-3114;IF-2271;IF-1420;IFS-15389;IF-1144;IF-1266;IF-1060;IF-2154;IFS-15384;IF-2073;IF-2066;IF-1145;IF-2069;IF-2093;IF-2228;IF-2274;PG-6732314;IF-1310;IF-1143;IF-2084;PG-7099782;IF-13246;IF-1084;IFS-15288;IFS-15276;CAT-44366;PG-44430;IF-1314;IF-1015;IF-1920;IF-1465;IF-2259;IF-1559;IF-32593;IF-1250;IF-1906;IF-2374;IF-9919;IF-32594;IF-2085;IFS-15279;IF-3098;IF-1103;IFS-15387;IF-1377;PG-44452;IF-51785;IF-1679;IF-2354;IF-1171;IF-2151;IF-2203;IF-1169;IF-2343;IF-13244;IF-1248;IF-1037;IF-1309;IF-1147;IF-3100;IF-1675;IF-1252;IF-1259;IFS-15290;IF-2257;IF-2141;IF-1375;IF-2194;IF-6965738;IF-2365;IF-32596;IF-2207;IF-1048;IF-32590;IF-1087;MPG-6861829;IF-1254;IF-2142;IF-2891;IF-1930;IF-1329;IF-2247;IF-2072;IFS-15385;IF-1327;IF-2008;IF-2078;IF-1672;IFS-15286;IF-3099;IF-2083;IF-1560;IF-1321;IF-2260;IF-12357;IF-1899;IF-2375;IF-2031;IF-13280;IF-1313;IFS-15388;IF-9920;IF-2210;IF-1444;IF-1056;IF-1376;IF-2087;IF-1244;IF-2086;IF-7207876;IF-2156;IF-2020;IF-2027;IFS-15277;IF-3079;IF-2028;IF-2360;IF-1428;IF-1902","PG-44551;IF-1226;PG-44460;PG-44448;PG-44434;IF-1165;CAT-44365;PG-44454;PG-44609;PG-44543;PG-44555;PG-44464;IF-1183;PG-44422;PG-44456;MPG-44413;PG-44579;IF-1253;CAT-44366;PG-44430;IF-3098;PG-44452;IF-1244"
"STEP.ZRCC.CHAR.AUXLMP.DESC","SAP Auxiliary light source desc.","",""
"JCODE","J Code","",""
"STEP.MVKE.MVGR305","SAP Material Group 3 05","",""
"CF_Keyword","K_Primary CF","",""
"IGNTEMRAT","Ignitor Temperature Rating","",""
"PLA-TL5ECO","Lamp Power On TL5 ECO","",""
"STEP.ZRCC.CHAR.LINEVOLT.DESC","SAP Input voltage desc.","",""
"STEP.MVKE.LFMNG05","SAP delivery quantity in delivery channel 05","",""
"RLIFETIMEH","Rated Lifetime (Hours)","","MPG-9948 (LED Lamps);CAT-9325 (Consumer Lamps)"
"STEP.MVKE.VMSTD05","SAP Distribution Channel Valid from (Projects)","",""
"REGION","Regional version","",""
"STEP.ZRCC.CHAR.CLRFRM.DESC","SAP Color frame desc.","",""
"CMP","Compensation circuit","",""
"STEP.ZRCC.CHAR.MECHACC.DESC","SAP Mechanical accessories desc.","",""
"RLIFETIMEY","Rated Lifetime (Years)","","CAT-9325 (Consumer Lamps)"
"STEP.ZRCC.CHAR.CABL.DESC","SAP Cable desc.","",""
"PLBRMT","Pole bracket mounting means","",""
"Attribute Rank","Attribute Rank","",""
"STEP.ZRCC.CHAR.UL-MARK.DESC","SAP UL mark desc.","",""
"CO.ASSIGN","Country Assignment","",""
"US-AWARDS","Awards","",""
"xUCDM.CF.PathById.OEM","xUCDM.CF.PathById.OEM","",""
"CABLLENGTH","Supply cable length","",""
